Date,Mean_Surface_Solar_Radiation_Jm2,Variance_Surface_Solar_Radiation_Jm2
2023-12-31,0.0,0.0
2024-01-01,648.0,6062869.333333333
2024-01-02,754.6666666666666,7223288.888888902
2024-01-03,986.6666666666666,12128910.222222216
2024-01-04,1266.6666666666667,17914531.55555553
2024-01-05,1613.3333333333333,27895118.222222198
2024-01-06,1690.6666666666667,27955512.8888889
2024-01-07,2272.0,47701333.333333336
2024-01-08,2573.3333333333335,59632974.2222222
2024-01-09,3450.6666666666665,102746083.55555575
2024-01-10,3578.6666666666665,104444899.55555563
2024-01-11,2506.6666666666665,49702115.55555547
2024-01-12,4824.0,175394069.33333334
2024-01-13,5048.0,184460053.33333334
2024-01-14,6181.333333333333,260192227.55555543
2024-01-15,7210.666666666667,346405432.88888884
2024-01-16,8730.666666666666,494249955.55555576
2024-01-17,7749.333333333333,368696974.22222185
2024-01-18,8504.0,433800981.3333333
2024-01-19,11789.333333333334,814396067.5555545
2024-01-20,14525.333333333334,1192651939.5555542
2024-01-21,13378.666666666666,979615907.5555559
2024-01-22,11341.333333333334,631673507.5555562
2024-01-23,16000.0,1296456704.0
2024-01-24,17434.666666666668,1474701966.2222226
2024-01-25,15813.333333333334,1183920782.2222216
2024-01-26,15586.666666666666,1079230798.2222228
2024-01-27,20904.0,1952097898.6666667
2024-01-28,19994.666666666668,1686437176.8888905
2024-01-29,23976.0,2541216021.3333335
2024-01-30,22549.333333333332,2029985336.88889
2024-01-31,25642.666666666668,2645557134.222223
2024-02-01,22226.666666666668,1776021326.2222235
2024-02-02,27578.666666666668,2802792419.5555577
2024-02-03,36461.333333333336,4964783267.555553
2024-02-04,37994.666666666664,5020350008.888892
2024-02-05,54698.666666666664,11289969550.222223
2024-02-06,37408.0,4775543808.0
2024-02-07,35866.666666666664,4300764131.555551
2024-02-08,54997.333333333336,10462495630.22222
2024-02-09,51117.333333333336,8184288760.88889
2024-02-10,81722.66666666667,21732769422.222202
2024-02-11,86413.33333333333,22805952504.88888
2024-02-12,99000.0,29838259989.333332
2024-02-13,101253.33333333333,30353066979.555542
2024-02-14,106744.0,33898937792.0
2024-02-15,117152.0,39320053418.666664
2024-02-16,114581.33333333333,35890312419.555565
2024-02-17,125586.66666666667,45598536867.55557
2024-02-18,99984.0,26306845781.333332
2024-02-19,131722.66666666666,44963367822.222275
2024-02-20,142992.0,53812430592.0
2024-02-21,154322.66666666666,60998394360.88886
2024-02-22,146925.33333333334,57557430776.88886
2024-02-23,89042.66666666667,18804864504.88887
2024-02-24,102181.33333333333,23430833806.222218
2024-02-25,156282.66666666666,58754368483.555534
2024-02-26,153954.66666666666,59809323683.55551
2024-02-27,134469.33333333334,40678798990.222206
2024-02-28,196325.33333333334,87773632142.22215
2024-02-29,194962.66666666666,88217349966.22226
2024-03-01,155080.0,57365422869.333336
2024-03-02,111088.0,25283513429.333332
2024-03-03,163762.66666666666,52091476302.22226
2024-03-04,236936.0,117177476544.0
2024-03-05,251424.0,125375118677.33333
2024-03-06,244088.0,134420042858.66667
2024-03-07,186837.33333333334,66647996643.55554
2024-03-08,266061.3333333333,130921076728.88898
2024-03-09,303562.6666666667,179476537912.8889
2024-03-10,327181.3333333333,200768055971.55566
2024-03-11,340882.6666666667,210758539086.22217
2024-03-12,323234.6666666667,208248961358.2223
2024-03-13,343904.0,199038907050.66666
2024-03-14,347976.0,232949009173.33334
2024-03-15,205509.33333333334,78004093923.55554
2024-03-16,304752.0,173447818666.66666
2024-03-17,339664.0,183320626944.0
2024-03-18,406208.0,261543335253.33334
2024-03-19,434250.6666666667,312234211214.2221
2024-03-20,445437.3333333333,321384256334.22235
2024-03-21,443770.6666666667,305874070499.55536
2024-03-22,394698.6666666667,264067591395.5555
2024-03-23,391762.6666666667,225532797774.2222
2024-03-24,507872.0,381664758442.6667
2024-03-25,483493.3333333333,364471079907.55536
2024-03-26,415917.3333333333,253301337592.889
2024-03-27,478477.3333333333,356884256760.88873
2024-03-28,400008.0,236095856064.0
2024-03-29,516408.0,402267802389.3333
2024-03-30,524485.3333333334,366842628067.55536
2024-03-31,480640.0,419616900437.3333
2024-04-01,353048.0,158089855594.66666
2024-04-02,379642.6666666667,220409417699.55557
2024-04-03,605994.6666666666,495993000504.88916
2024-04-04,341045.3333333333,164535389411.55554
2024-04-05,460114.6666666667,245747869859.55557
2024-04-06,607944.0,493716375317.3333
2024-04-07,576005.3333333334,413849129955.5555
2024-04-08,695386.6666666666,578581482126.2222
2024-04-09,690789.3333333334,580550700344.889
2024-04-10,719813.3333333334,602736168931.5557
2024-04-11,468074.6666666667,357876704142.2222
2024-04-12,453162.6666666667,221712834787.5555
2024-04-13,553480.0,366608200128.0
2024-04-14,787618.6666666666,696233826979.5555
2024-04-15,722709.3333333334,639302581816.8888
2024-04-16,596770.6666666666,561417625592.889
2024-04-17,455794.6666666667,247694007630.22226
2024-04-18,799813.3333333334,655322605539.5555
2024-04-19,845842.6666666666,748803117560.8888
2024-04-20,559877.3333333334,530348312547.55566
2024-04-21,632325.3333333334,436187135971.5555
2024-04-22,826973.3333333334,705532472654.2224
2024-04-23,749157.3333333334,616550235107.5557
2024-04-24,716874.6666666666,516540836067.5557
2024-04-25,857781.3333333334,757851736632.8892
2024-04-26,709304.0,589334463594.6666
2024-04-27,625354.6666666666,441444429368.88885
2024-04-28,873517.3333333334,702309498702.222
2024-04-29,778493.3333333334,683423126008.889
2024-04-30,911213.3333333334,799769392632.889
2024-05-01,826237.3333333334,629463169870.222
2024-05-02,845789.3333333334,675660448078.2223
2024-05-03,896674.6666666666,705042848419.5557
2024-05-04,845421.3333333334,678366522872.8889
2024-05-05,926272.0,757168110933.3334
2024-05-06,1031736.0,904044667669.3334
2024-05-07,888256.0,761599796565.3334
2024-05-08,681562.6666666666,560133094371.5558
2024-05-09,313120.0,112414231210.66667
2024-05-10,861786.6666666666,597491278819.5557
2024-05-11,905637.3333333334,848309831651.5555
2024-05-12,804872.0,643917031189.3334
2024-05-13,832010.6666666666,574171309624.889
2024-05-14,935784.0,739722219114.6666
2024-05-15,800056.0,547593891605.3333
2024-05-16,575597.3333333334,305812430328.88885
2024-05-17,866325.3333333334,621789617720.8887
2024-05-18,671205.3333333334,368406060344.88873
2024-05-19,767258.6666666666,433480812856.8889
2024-05-20,905016.0,784058634005.3334
2024-05-21,868904.0,526447422400.0
2024-05-22,1081029.3333333333,866006029283.5555
2024-05-23,1081570.6666666667,784102022478.2222
2024-05-24,925885.3333333334,703368835235.5555
2024-05-25,944117.3333333334,664086714595.5557
2024-05-26,948904.0,601820115562.6666
2024-05-27,886634.6666666666,451034916067.5556
2024-05-28,928834.6666666666,549394710008.88885
2024-05-29,637853.3333333334,323749690019.5555
2024-05-30,736936.0,374678972693.3333
2024-05-31,690981.3333333334,479959716152.889
2024-06-01,780040.0,355361969941.3333
2024-06-02,1032442.6666666666,677889928504.8888
2024-06-03,959856.0,624479717802.6666
2024-06-04,1142034.6666666667,858383080611.5555
2024-06-05,909877.3333333334,781334380771.5553
2024-06-06,871536.0,548307192576.0
2024-06-07,1213336.0,927979781397.3334
2024-06-08,1194365.3333333333,913383871310.222
2024-06-09,945562.6666666666,676109322894.2223
2024-06-10,804909.3333333334,517674040483.55566
2024-06-11,553530.6666666666,276452528440.88885
2024-06-12,514216.0,147506591338.66666
2024-06-13,545800.0,278531049920.0
2024-06-14,268794.6666666667,125902278627.55554
2024-06-15,903536.0,651476902314.6666
2024-06-16,786405.3333333334,408016384312.8889
2024-06-17,867272.0,363232312426.6667
2024-06-18,774736.0,519487775488.0
2024-06-19,1213760.0,958389760341.3334
2024-06-20,1025586.6666666666,755771720696.889
2024-06-21,294752.0,133167472298.66667
2024-06-22,636554.6666666666,290833237219.55566
2024-06-23,864973.3333333334,424479951864.88885
2024-06-24,1048589.3333333333,786678181198.2222
2024-06-25,759568.0,408724235349.3333
2024-06-26,352736.0,100987904682.66667
2024-06-27,602818.6666666666,270160842232.8889
2024-06-28,685693.3333333334,326508960590.2221
2024-06-29,542280.0,510147819968.0
2024-06-30,669029.3333333334,378393780195.5555
2024-07-01,1046685.3333333334,776042725710.2222
2024-07-02,904994.6666666666,905454468771.5557
2024-07-03,638525.3333333334,218487247694.22226
2024-07-04,917328.0,675745607765.3334
2024-07-05,1014258.6666666666,710128937294.2225
2024-07-06,1035928.0,644082154432.0
2024-07-07,1085576.0,769658227136.0
2024-07-08,1040280.0,738602434154.6666
2024-07-09,1099216.0,804351020800.0
2024-07-10,975402.6666666666,741057323235.5557
2024-07-11,637034.6666666666,350291302286.2221
2024-07-12,365429.3333333333,145118468323.5556
2024-07-13,572709.3333333334,377751565283.5555
2024-07-14,967394.6666666666,772949690702.2222
2024-07-15,859429.3333333334,602753638030.2222
2024-07-16,855080.0,582390639893.3334
2024-07-17,930933.3333333334,663293146680.8888
2024-07-18,624794.6666666666,340449870136.8889
2024-07-19,630176.0,264324966058.66666
2024-07-20,837877.3333333334,482721335182.22217
2024-07-21,1022072.0,819847635392.0
2024-07-22,483189.3333333333,303129380750.2222
2024-07-23,762954.6666666666,478603373112.8889
2024-07-24,898325.3333333334,628667101411.5557
2024-07-25,408914.6666666667,151610244942.22226
2024-07-26,561661.3333333334,290867092643.5556
2024-07-27,565346.6666666666,251270402723.55563
2024-07-28,322114.6666666667,173518329336.88892
2024-07-29,230525.33333333334,46829026126.22222
2024-07-30,396613.3333333333,166054196195.55554
2024-07-31,627050.6666666666,361200836152.88885
2024-08-01,497152.0,210396824917.33334
2024-08-02,551048.0,269299741120.0
2024-08-03,306736.0,122218323370.66667
2024-08-04,481544.0,216608183402.66666
2024-08-05,561029.3333333334,287416497464.8889
2024-08-06,705080.0,402714274240.0
2024-08-07,668922.6666666666,431613443726.22217
2024-08-08,495160.0,195170003050.66666
2024-08-09,459658.6666666667,195739956792.8889
2024-08-10,362840.0,117810852117.33333
2024-08-11,374162.6666666667,148303051256.88895
2024-08-12,244042.66666666666,77623851576.8889
2024-08-13,340642.6666666667,175867272184.88895
2024-08-14,204890.66666666666,55374907022.22222
2024-08-15,296024.0,149118998464.0
2024-08-16,251314.66666666666,64420077560.88889
2024-08-17,215858.66666666666,49697361230.22223
2024-08-18,486016.0,242468386474.66666
2024-08-19,756029.3333333334,563480041294.2223
2024-08-20,716898.6666666666,570049123320.8892
2024-08-21,669520.0,484073973162.6667
2024-08-22,418154.6666666667,208794256611.55563
2024-08-23,464456.0,223515821845.33334
2024-08-24,585848.0,396212036714.6667
2024-08-25,658578.6666666666,501199185059.5556
2024-08-26,534368.0,402793270613.3333
2024-08-27,485328.0,263978603946.66666
2024-08-28,497824.0,256985521152.0
2024-08-29,421117.3333333333,223106399736.8888
2024-08-30,374277.3333333333,161716717198.22223
2024-08-31,386197.3333333333,236379651982.22214
2024-09-01,140584.0,24316591381.333332
2024-09-02,285869.3333333333,108280627363.55554
2024-09-03,318333.3333333333,135800091128.8889
2024-09-04,403685.3333333333,200296908088.8889
2024-09-05,363778.6666666667,197900091555.55557
2024-09-06,260216.0,105794426304.0
2024-09-07,174240.0,35997097642.666664
2024-09-08,394042.6666666667,228419947832.88882
2024-09-09,246832.0,103800917760.0
2024-09-10,403976.0,215953671274.66666
2024-09-11,473394.6666666667,319169735331.5555
2024-09-12,433506.6666666667,289798597624.8888
2024-09-13,314570.6666666667,147501141560.88895
2024-09-14,181317.33333333334,55221471886.222206
2024-09-15,286888.0,131350214250.66667
2024-09-16,335885.3333333333,181888364195.55557
2024-09-17,286592.0,136244468394.66667
2024-09-18,278968.0,145386319978.66666
2024-09-19,345224.0,200888163093.33334
2024-09-20,230448.0,143428677717.33334
2024-09-21,112050.66666666667,32947342328.88889
2024-09-22,145058.66666666666,37507635875.55555
2024-09-23,205050.66666666666,72528569315.55557
2024-09-24,269637.3333333333,169745312739.5557
2024-09-25,226021.33333333334,91645902136.8889
2024-09-26,253274.66666666666,124167382670.22227
2024-09-27,268490.6666666667,132936209635.5556
2024-09-28,120840.0,26509800554.666668
2024-09-29,88813.33333333333,13074443768.888885
2024-09-30,246165.33333333334,121638374286.22229
2024-10-01,147658.66666666666,45360398563.55558
2024-10-02,158328.0,50033173269.333336
2024-10-03,192552.0,69264593514.66667
2024-10-04,187154.66666666666,75303765155.55554
2024-10-05,95365.33333333333,21938329912.888885
2024-10-06,179552.0,67218246314.666664
2024-10-07,195349.33333333334,76091791587.55557
2024-10-08,166960.0,57227057237.333336
2024-10-09,229896.0,112040625941.33333
2024-10-10,208901.33333333334,99543710008.88881
2024-10-11,185728.0,76548544512.0
2024-10-12,119301.33333333333,40386783886.22221
2024-10-13,78701.33333333333,15421823480.8889
2024-10-14,118336.0,35480974677.333336
2024-10-15,84725.33333333333,16172177294.222237
2024-10-16,114106.66666666667,30344423395.555546
2024-10-17,139213.33333333334,53188805966.22224
2024-10-18,74053.33333333333,19419258851.555553
2024-10-19,35786.666666666664,3164758243.555556
2024-10-20,48133.333333333336,5315225571.555554
2024-10-21,49597.333333333336,6398120782.222218
2024-10-22,39168.0,4101513216.0
2024-10-23,42901.333333333336,4949890958.222217
2024-10-24,36056.0,3359332629.3333335
2024-10-25,57298.666666666664,8916836174.22222
2024-10-26,67338.66666666667,13894808462.222227
2024-10-27,41744.0,4691168341.333333
2024-10-28,65154.666666666664,12697786872.8889
2024-10-29,61650.666666666664,11969985358.222229
2024-10-30,39861.333333333336,5759600184.88889
2024-10-31,39461.333333333336,5087010104.888887
2024-11-01,31536.0,3333148416.0
2024-11-02,31424.0,3333769898.6666665
2024-11-03,21453.333333333332,1618152440.8888886
2024-11-04,34637.333333333336,3923902798.22222
2024-11-05,45757.333333333336,7782295715.555551
2024-11-06,49752.0,9089197333.333334
2024-11-07,42232.0,7528906517.333333
2024-11-08,35912.0,5300624149.333333
2024-11-09,32661.333333333332,4054018958.2222238
2024-11-10,33429.333333333336,4470445966.222224
2024-11-11,36397.333333333336,5734361592.888883
2024-11-12,32141.333333333332,4602060110.22222
2024-11-13,27941.333333333332,3570093710.22222
2024-11-14,20413.333333333332,1975732728.8888896
2024-11-15,20125.333333333332,1903460686.222223
2024-11-16,14781.333333333334,1011880782.2222219
2024-11-17,18682.666666666668,1834539320.88889
2024-11-18,13440.0,941611690.6666666
2024-11-19,9170.666666666666,438788600.88888854
2024-11-20,12621.333333333334,863931726.222222
2024-11-21,15528.0,1438992661.3333333
2024-11-22,8642.666666666666,455017976.8888886
2024-11-23,9933.333333333334,647738019.5555552
2024-11-24,6256.0,232697258.66666666
2024-11-25,7752.0,396030741.3333333
2024-11-26,4920.0,160654784.0
2024-11-27,5016.0,171589568.0
2024-11-28,5680.0,239237888.0
2024-11-29,3610.6666666666665,98735416.88888879
2024-11-30,2309.3333333333335,40575971.55555553
2024-12-01,2240.0,38199637.333333336
2024-12-02,3082.6666666666665,76809102.22222213
2024-12-03,1880.0,30504896.0
2024-12-04,1800.0,29100821.333333332
2024-12-05,1709.3333333333333,27928056.888888866
2024-12-06,1405.3333333333333,20515662.222222235
2024-12-07,1234.6666666666667,16098126.222222231
2024-12-08,1232.0,17543253.333333332
2024-12-09,792.0,8134933.333333333
2024-12-10,653.3333333333334,5749070.222222225
2024-12-11,501.3333333333333,3724174.2222222164
2024-12-12,437.3333333333333,3163704.8888888913
2024-12-13,338.6666666666667,2082638.222222223
2024-12-14,141.33333333333334,391160.88888888963
2024-12-15,146.66666666666666,458574.222222223
2024-12-16,138.66666666666666,442254.22222222184
2024-12-17,69.33333333333333,110563.55555555546
2024-12-18,82.66666666666667,157176.88888888908
2024-12-19,48.0,52992.0
2024-12-20,48.0,52992.0
2024-12-21,40.0,36800.0
2024-12-22,40.0,36800.0
2024-12-23,58.666666666666664,79160.88888888886
2024-12-24,56.0,72128.0
2024-12-25,85.33333333333333,167480.8888888891
2024-12-26,109.33333333333333,261283.5555555557
2024-12-27,160.0,530432.0
2024-12-28,224.0,1019221.3333333334
2024-12-29,330.6666666666667,1915448.8888888916
2024-12-30,416.0,2871637.3333333335
2024-12-31,417.88235294117646,1815789.3979238754
